"journal_name","impact_factor","ranking"
"Geneva Papers on Risk and Insurance: Issues and Practice","B","VHB"
"Geneva Risk and Insurance Review","","VHB"
"German Economic Review","B","VHB"
"Gesundheitsökonomie und Qualitätsmanagement","D","VHB"
"GFK Marketing Intelligence Review","D","VHB"
"Global Finance Journal","","VHB"
"Global Strategy Journal","B","VHB"
"GmbHRundschau","","VHB"
"Governance","A","VHB"
"greener management international","D","VHB"
"Group & Organization Management","B","VHB"
"Group Decision and Negotiation","B","VHB"
"Gruppendynamik & Organisationsberatung","","VHB"
"Harvard Business Manager","","VHB"
"Harvard Business Review","C","VHB"
"Health Care Management Review","B","VHB"
"Health Care Management Science","A","VHB"
"Health Economics","A","VHB"
"Health Economics, Policy and Law","","VHB"
"Health Policy","B","VHB"
"Health Services Management Research","C","VHB"
"Health Services Research (HSR)","A","VHB"
"Higher Education","","VHB"
"Higher Education Quarterly","","VHB"
"HMD - Praxis der Wirtschaftsinformatik","D","VHB"
"Hochschulmanagement. Zeitschrift für die Leitung, Entwicklung und Selbstverwaltung von Hochschulen und Wissenschaftseinrichtungen","","VHB"
"Human Performance","","VHB"
"Human Relations","B","VHB"
"Human Resource Development International","","VHB"
"Human Resource Development Review","","VHB"
"Human Resource Management","B","VHB"
"Human Resource Management Journal","B","VHB"
"Human Resource Management Review","B","VHB"
"Human-Computer Interaction","C","VHB"
"IBM Journal of Research and Development","C","VHB"
"IEEE Computer","C","VHB"
"IEEE Internet Computing","","VHB"
"IEEE Pervasive Computing","","VHB"
"IEEE Software","C","VHB"
"IEEE Transactions on Components, Packaging, and Manufacturing Technology","","VHB"
"IEEE Transactions on Engineering Management","B","VHB"
"IEEE Transactions on Software Engineering","B","VHB"
"IEEE Transactions on Systems, Man, and Cybernetics: Systems","C","VHB"
"IIE Transactions","A","VHB"
"IM+io - Das Magazin für Innovation, Organisation und Management","","VHB"
"Industrial and Corporate Change","B","VHB"
"Industrial and Labor Relations Review","A/B","VHB"
"Industrial Management & Data Systems","","VHB"
"Industrial Marketing Management","B","VHB"
"Industrielle Beziehungen","C","VHB"
"Industry & Innovation","B","VHB"
"INFOR: Information Systems and Operational Research","","VHB"
"Informatik-Spektrum","D","VHB"
"Information & Management","B","VHB"
"Information and Organization","B","VHB"
"Information Resources Management Journal","","VHB"
"Information Systems","B","VHB"
"Information Systems and e-Business Management","C","VHB"
"Information Systems Frontiers","B","VHB"
"Information Systems Journal (ISJ)","A","VHB"
"Information Systems Management","C","VHB"
"Information Systems Research (ISR)","A+","VHB"
"Information Technology and Management","C","VHB"
"INFORMS Journal on Computing","A","VHB"
"Innovative Verwaltung","","VHB"
"Insurance: Mathematics & Economics","","VHB"
"Intelligent Systems in Accounting, Finance & Management","","VHB"
"Interfaces","B","VHB"
"Internal Auditor","","VHB"
"International Business & Economics Research Journal","C","VHB"
"International Business Review","B","VHB"
"International Economic Review","","VHB"
"International Entrepreneurship and Management Journal","B/C","VHB"
"International Journal of Accounting","B","VHB"
"International Journal of Accounting Information Systems","C","VHB"
"International Journal of Accounting, Auditing and Performance Evaluation","C","VHB"
"International Journal of Advertising","C","VHB"
"International Journal of Arts Management","","VHB"
"International Journal of Auditing","B","VHB"
"International Journal of Automotive Technology and Management","C","VHB"
"International Journal of Bank Marketing","","VHB"
"International Journal of Business Communication","","VHB"
"International Journal of Business Environment","C","VHB"
"International Journal of Business Intelligence and Data Mining","","VHB"
"International Journal of Business Intelligence Research","","VHB"
"International Journal of Business Performance Management IJBPM","D","VHB"
"International Journal of Business Research","C","VHB"
"International Journal of Business Science and Applied Management","C","VHB"
"International Journal of Business Strategy","C","VHB"
"International Journal of Consumer Studies","D","VHB"
"International Journal of Cross Cultural Management","","VHB"
"International Journal of Economics and Accounting","C","VHB"
"International Journal of Economics and Business Research","C","VHB"
"International Journal of Electronic Business","C","VHB"
"International Journal of Electronic Commerce","B","VHB"
"International Journal of Energy Sector Management","B","VHB"
"International Journal of Entrepreneurial Behaviour & Research","C","VHB"
"International Journal of Entrepreneurial Venturing","B","VHB"
"International Journal of Entrepreneurship and Innovation","C","VHB"
"International Journal of Entrepreneurship and Innovation Management","C","VHB"
"International Journal of Entrepreneurship and Small Business","C","VHB"
"International Journal of Finance","C","VHB"
"International Journal of Forecasting","C","VHB"
"International Journal of Game Theory","","VHB"
"International Journal of Globalisation and Small Business","C","VHB"
"International Journal of Government Auditing","","VHB"
