"journal_name","impact_factor","ranking"
"Journal of Small Business Strategy","C","VHB"
"Journal of Strategic Marketing","C","VHB"
"Journal of Strategy and Management","C","VHB"
"Journal of Supply Chain Management","B","VHB"
"Journal of Taxation","C","VHB"
"Journal of the Academy of Marketing Science","A","VHB"
"Journal of the ACM (JACM)","B","VHB"
"Journal of the Association for Information Systems","A","VHB"
"Journal of the European Economic Association","","VHB"
"Journal of Travel & Tourism Marketing","","VHB"
"Journal of Vocational Behavior","B","VHB"
"Journal of World Business","B","VHB"
"JPP&M Journal of Public Policy & Marketing","B","VHB"
"JPSSM - Journal of Personal Selling & Sales Management","B","VHB"
"KMPR. Knowledge Management Research & Practice","","VHB"
"KoR. IFRS: Internationale und kapitalmarktorientierte Rechnungslegung","D","VHB"
"kösdi. Kölner Steuerdialog","","VHB"
"Künstliche Intelligenz - KI","","VHB"
"Kyklos","B","VHB"
"Labour Economics","B","VHB"
"Leadership","","VHB"
"Leadership Quarterly","A","VHB"
"Lecture Notes in Business Information Processing","C","VHB"
"Lecture Notes in Computer Science","C","VHB"
"Lecture Notes in Informatics","C","VHB"
"Local Government Studies","","VHB"
"Logistics Research","C","VHB"
"Long Range Planning","B","VHB"
"Management","C","VHB"
"Management Accounting Quarterly","D","VHB"
"Management Accounting Research","A","VHB"
"Management and Organisation Review","C","VHB"
"Management Decision","C","VHB"
"Management Information Systems Quarterly","A+","VHB"
"Management International Review","B","VHB"
"Management Learning","B","VHB"
"Management of Environmental Quality: An International Journal","","VHB"
"Management Research Review","C","VHB"
"Management Review Quarterly","C","VHB"
"management revue - Socio-economic Studies","C","VHB"
"Management Science","A+","VHB"
"Managementforschung","B","VHB"
"Managerial and Decision Economics","B","VHB"
"Managerial Auditing Journal","C","VHB"
"Managing Service Quality","C","VHB"
"Manufacturing & Service Operations Management","A","VHB"
"Marketing Health Services","","VHB"
"Marketing Intelligence & Planning","","VHB"
"Marketing Letters","B","VHB"
"Marketing Review St. Gallen","D","VHB"
"Marketing Science","A+","VHB"
"Marketing Theory","C","VHB"
"Marketing Theory and Applications","D","VHB"
"Marketing. ZFP - Journal of Research and Management","C","VHB"
"Mathematical Finance","B","VHB"
"Mathematical Methods of Operations Research","B","VHB"
"Mathematical Programming","A","VHB"
"Mathematics of Operations Research","A","VHB"
"McKinsey Quarterly","","VHB"
"Medical Care","","VHB"
"Medical Decision Making","A","VHB"
"Medienwirtschaft - Zeitschrift für Medienmanagement und Kommunikationsökonomie","","VHB"
"MIS Quarterly Executive","B","VHB"
"MIT Sloan Management Review","C","VHB"
"Multinational Business Review","C","VHB"
"Multivariate Behavioral Research","","VHB"
"National Tax Journal","A","VHB"
"Naval Research Logistics","B","VHB"
"Negotiation Journal","C","VHB"
"Networks","","VHB"
"NeuroPsychoEconomics","","VHB"
"Nonprofit and Voluntary Sector Quarterly","B","VHB"
"Nonprofit Management & Leadership","B","VHB"
"Nonprofit Policy Forum","","VHB"
"NWB Rechnungswesen -BBK","","VHB"
"NWB Steuer- und Wirtschaftsrecht","","VHB"
"Ökologisches Wirtschaften","D","VHB"
"Omega","B","VHB"
"Operations Management Research","","VHB"
"Operations Research","A+","VHB"
"Operations Research Letters","B","VHB"
"Operations Research Proceedings","D","VHB"
"Optimization. A Journal of Mathematical Programming and Operations Research","","VHB"
"OR News","","VHB"
"OR Spectrum","A","VHB"
"OrganisationsEntwicklung","","VHB"
"Organization","B","VHB"
"Organization & Environment","B","VHB"
"Organization Science","A+","VHB"
"Organization Studies","A","VHB"
"Organizational Behavior and Human Decision Processes","A","VHB"
"Organizational Dynamics","C","VHB"
"Organizational Research Methods","A","VHB"
"ÖStZ - Österreichische Steuerzeitung","","VHB"
"Personalführung","","VHB"
"PERSONALquarterly (früher: Personal: Zeitschrift für Human Resource Management)","D","VHB"
"Personalwirtschaft","","VHB"
"Personnel Psychology","A","VHB"
"Personnel Review","","VHB"
"Perspektiven der Wirtschaftspolitik (PWP)","C","VHB"
"PharmacoEconomics","A","VHB"
"Philosophy of Science","","VHB"
"Policing: An International Journal of Police Strategies & Management","","VHB"
"Policy Studies","","VHB"
"Praxis der internationalen Rechnungslegung (PiR)","","VHB"
"Praxis Internationale Steuerberatung","","VHB"
"Problems and Perspectives in Management","C","VHB"
"Proceedings der European Marketing Academy Conference","D","VHB"
"Proceedings of the AMA Summer Educators' Conference","D","VHB"
"Proceedings of the Americas Conference on Information Systems","D","VHB"
"Proceedings of the European Conference on Information Systems","B","VHB"
"Proceedings of the Hawaii International Conference on System Sciences","C","VHB"
"Proceedings of the International Conference on Conceptual Modeling","B","VHB"
"Proceedings of the International Conference on Design Science Research in Information Systems and Technology","C","VHB"
"Proceedings of the International Conference on Information Systems","A","VHB"
"Proceedings of the Internationale Tagung Wirtschaftsinformatik","C","VHB"
"Proceedings of the Multikonferenz Wirtschaftsinformatik","D","VHB"
"Proceedings of the Pacific Asia Conference on Information Systems","C","VHB"
"Proceedings of the VLDB Endowment (PVLDB) (früher: Proceedings of the Conference on Very Large Data Bases","","VHB"
"Production and Inventory Management Journal","","VHB"
"Production and Operations Management","A","VHB"
"Production Planning & Control","C","VHB"
"Project Management Journal","C","VHB"
"Psychology & Marketing","B","VHB"
"Public Administration","B","VHB"
"Public Administration and Development","","VHB"
"Public Administration Quarterly","C","VHB"
"Public Administration Review","B","VHB"
"Public Choice","","VHB"
"Public Finance Review","B","VHB"
"Public Management Review","B","VHB"
"Public Money and Management","C","VHB"
"Public Performance & Management Review","C","VHB"
"Public Personnel Management","","VHB"
"Public Policy and Administration","","VHB"
"Qualitative Market Research","","VHB"
"Qualitative Research in Accounting & Management","B","VHB"
"Qualitative Research in Financial Markets","","VHB"
"Quantitative Finance","B","VHB"
"Quantitative Marketing and Economics","B","VHB"
"R&D Management","B","VHB"
"Real Estate Economics","","VHB"
"Real Estate Finance","","VHB"
"Research in Accounting Regulation","C","VHB"
"Research in Higher Education","","VHB"
"Research in Organizational Behavior","B","VHB"
"Research in the Sociology of Organizations","B","VHB"
"Research Journal of Finance and Accounting","","VHB"
"Research Policy (RP)","A","VHB"
"Research-Technology Management","C","VHB"
"Resource and Energy Economics","B","VHB"
"Review of Accounting and Finance","C","VHB"
"Review of Accounting Studies","A","VHB"
"Review of Derivatives Research","A","VHB"
"Review of Finance","A","VHB"
"Review of Financial Economics","B","VHB"
"Review of Managerial Science","B","VHB"
"Review of Marketing Research","","VHB"
"Review of Marketing Science","C","VHB"
"Review of Public Personnel Administration","","VHB"
"Review of Quantitative Finance and Accounting","B","VHB"
"Revue Internationale PME","","VHB"
"RIW - Recht der Internationalen Wirtschaft","D","VHB"
"RWZ - Zeitschrift für Recht und Rechnungswesen","D","VHB"
"Scandinavian Journal of Information Systems","C","VHB"
"Scandinavian Journal of Management","B","VHB"
"Schmollers Jahrbuch","","VHB"
"Schweizer Treuhänder","D","VHB"
"Science","A+","VHB"
"Service Business","","VHB"
"Service Industries Journal","C","VHB"
"Service Science","C","VHB"
"SIAM Journal on Computing","A","VHB"
"Small Business Economics","B","VHB"
"Social and Environmental Accountability Journal","C","VHB"
"Social Policy & Administration","","VHB"
"Social Responsibility Journal","","VHB"
"Social Science and Medicine","","VHB"
"Society and Business Review","C","VHB"
"Socio-Economic Review","B","VHB"
"Southern Economic Journal","","VHB"
"Sport Marketing Quarterly","D","VHB"
"Steuer + Studium","","VHB"
"Steuer und Wirtschaft","B","VHB"
"Strategic Entrepreneurship Journal (SEJ)","A","VHB"
"Strategic Management Journal (SMJ)","A","VHB"
"Strategic Organization","B","VHB"
"Strategy & Leadership","C","VHB"
"Structural Equation Modeling: A Multidisciplinary Journal","B","VHB"
"StuB - NWB Unternehmenssteuern und Bilanzen (früher: Steuern und Bilanzen StuB)","","VHB"
"Studies in Higher Education","","VHB"
"Supply Chain Forum: An International Journal","","VHB"
"Supply Chain Management Review","","VHB"
"Supply Chain Management: An International Journal","B","VHB"
"Sustainability","C","VHB"
"Sustainability Accounting, Management and Policy Journal","C","VHB"
"Sustainable Development","C","VHB"
"SWI - Steuer und Wirtschaft International","C","VHB"
"SWK - Steuer- und Wirtschaftskartei","","VHB"
"System Dynamics Review","B","VHB"
"Tagungsbände der Konferenz Modellierung betrieblicher Informationssysteme (MOBIS)","D","VHB"
"Tax Notes International","","VHB"
"Tax Planning International Review","","VHB"
"Technological Forecasting and Social Change","B","VHB"
"Technology Analysis & Strategic Management","C","VHB"
"Technovation","C","VHB"
"Telecommunications Policy","C","VHB"
"The British Accounting Review","C","VHB"
"The International Journal of Entrepreneurship and Innovation","C","VHB"
"The Journal of Corporate Citizenship","C","VHB"
"The Journal of Finance","A+","VHB"
"The Journal of Higher Education","","VHB"
"The Journal of Portfolio Management","B","VHB"
"The Journal of Private Equity","D","VHB"
"The Journal of Real Estate Finance and Economics","","VHB"
"The Journal of Strategic Information Systems","A","VHB"
"The Journal of Technology Transfer","B","VHB"
"The Journal of the American Taxation Association","B","VHB"
"The Quarterly Review of Economics and Finance","B","VHB"
"The RAND Journal of Economics","A","VHB"
"The Review of Asset Pricing Studies","","VHB"
"The Review of Corporate Finance Studies","","VHB"
"The Review of Financial Studies","A+","VHB"
"The Scandinavian Journal of Economics","","VHB"
"The World Economy","","VHB"
"Theory and Decision","","VHB"
"Thunderbird International Business Review","C","VHB"
"Transfer. Werbeforschung & Praxis","D","VHB"
"Transnational Corporations","","VHB"
"Transportation","","VHB"
"Transportation Journal","","VHB"
"Transportation Research Part A: Policy and Practice","B","VHB"
"Transportation Research Part B: Methodological","B","VHB"
"Transportation Research Part D: Transport and Environment","B","VHB"
"Transportation Research Part E: Logistics and Transportation Review","B","VHB"
"Transportation Science","A","VHB"
"Umsatzsteuer Rundschau","","VHB"
"uwf Umweltwirtschaftsforum","D","VHB"
"Value in Health","B","VHB"
"Venture Capital. An International Journal of Entrepreneurial Finance","C","VHB"
"Versicherungswirtschaft","","VHB"
"VM Verwaltung & Management","","VHB"
"Voluntary Sector Review","","VHB"
"Voluntas: International Journal of Voluntary and Nonprofit Organizations","B","VHB"
"WiST Wirtschaftswissenschaftliches Studium","D","VHB"
"WISU das wirtschaftsstudium","D","VHB"
"Work, Employment and Society","B","VHB"
"World Tax Journal","C","VHB"
"ZBB - Zeitschrift für Bankrecht und Bankwirtschaft","C/D","VHB"
"ZCG Zeitschrift für Corporate Governance","D","VHB"
"Zeitschrift für angewandte Umweltforschung (eingestellt 2009)","","VHB"
"Zeitschrift für Arbeits und Organisationspsychologie A&O","C","VHB"
"Zeitschrift für Arbeitswissenschaft","","VHB"
"Zeitschrift für das gesamte Kreditwesen","D","VHB"
"Zeitschrift für die gesamte Versicherungswissenschaft","C","VHB"
"Zeitschrift für Energiewirtschaft","C","VHB"
"Zeitschrift für Management (eingestellt 2011)","C","VHB"
"Zeitschrift für Personalforschung: German Journal of Research in Human Resource Management","C","VHB"
"Zeitschrift für Unternehmens- und Gesellschaftsrecht (ZGR)","C","VHB"
"Zeitschrift für Verkehrswissenschaft (ZfV)","","VHB"
"Zeitschrift für Versicherungswesen (ZfV)","","VHB"
"Zeitschrift für Wirtschafts- und Unternehmensethik - Journal for Business, Economics & Ethics","C","VHB"
"Zeitschrift Interne Revision","D","VHB"
"zfbf Schmalenbachs Zeitschrift für betriebswirtschaftliche Forschung - Schmalenbach Business Review (sbr)","B","VHB"
"ZfgG Zeitschrift für das gesamte Genossenschaftswesen","C","VHB"
"ZfKE: Zeitschrift für KMU und Entrepreneurship","C","VHB"
"zfo - Zeitschrift Führung + Organisation","D","VHB"
"ZfU - Zeitschrift für Umweltpolitik & Umweltrecht","B","VHB"
"ZIÖ Zeitschrift für Immobilienökonomie","C","VHB"
"ZögU: Zeitschrift für öffentliche und gemeinwirtschaftliche Unternehmen","C","VHB"
"ZSteu: Zeitschrift für Steuern & Recht","","VHB"
"ZWF - Zeitschrift für wirtschaftlichen Fabrikbetrieb","","FT-50"
"Academy of Management Review","","FT-50"
"Accounting","","FT-50"
"Administrative Science Quarterly","","FT-50"
"American Economic Review","","FT-50"
"Contemporary Accounting Research","","FT-50"
"Econometrica","","FT-50"
"Entrepreneurship Theory and Practice","","FT-50"
"Harvard Business Review","","FT-50"
"Human Relations","","FT-50"
"Human Resource Management","","FT-50"
"Information Systems Research","","FT-50"
"Journal of Accounting and Economics","","FT-50"
"Journal of Accounting Research","","FT-50"
"Journal of Applied Psychology","","FT-50"
"Journal of Business Ethics","","FT-50"
"Journal of Business Venturing","","FT-50"
"Journal of Consumer Psychology","","FT-50"
"Journal of Consumer Research","","FT-50"
"Journal of Finance","","FT-50"
"Journal of Financial and Quantitative Analysis","","FT-50"
"Journal of Financial Economics","","FT-50"
"Journal of International Business Studies","","FT-50"
"Journal of Management","","FT-50"
"Journal of Management Information Systems","","FT-50"
"Journal of Management Studies","","FT-50"
"Journal of Marketing","","FT-50"
"Journal of Marketing Research","","FT-50"
"Journal of Operations Management","","FT-50"
"Journal of Political Economy","","FT-50"
"Journal of the Academy of Marketing Science","","FT-50"
"Management Science","","FT-50"
"Manufacturing and Service Operations Management","","FT-50"
"Marketing Science","","FT-50"
"MIS Quarterly","","FT-50"
"Operations Research","","FT-50"
"Organization Science","","FT-50"
"Organization Studies","","FT-50"
"Organizational Behavior and Human Decision Processes","","FT-50"
"Production and Operations Management","","FT-50"
"Quarterly Journal of Economics","","FT-50"
"Research Policy","","FT-50"
"Review of Accounting Studies","","FT-50"
"Review of Economic Studies","","FT-50"
"Review of Finance","","FT-50"
"Review of Financial Studies","","FT-50"
"Sloan Management Review","","FT-50"
"Strategic Entrepreneurship Journal","","FT-50"
"Strategic Management Journal","","FT-50"
"The Accounting Review","","FT-50"
"Academic Exchange Quarterly","","Beall`s Predatory Journals"
"Academic Research Reviews","","Beall`s Predatory Journals"
"Academy of Contemporary Research Journal ","","Beall`s Predatory Journals"
"ACME Intellects","","Beall`s Predatory Journals"
"Acta  de Gerencia Ciencia","","Beall`s Predatory Journals"
"Acta Advances in Agricultural Sciences","","Beall`s Predatory Journals"
"Acta Kinesiologica","","Beall`s Predatory Journals"
"Acta Medica International","","Beall`s Predatory Journals"
"Acta Scientiae et Intellectus","","Beall`s Predatory Journals"
"Acta Velit","","Beall`s Predatory Journals"
"Adalya Journal","","Beall`s Predatory Journals"
"Advance Journals of Engineering Mathematics and Computer Sciences","","Beall`s Predatory Journals"
"Advance Research Journal of Multidisciplinary Discoveries","","Beall`s Predatory Journals"
"Advances in Aerospace Science and Technology","","Beall`s Predatory Journals"
"Advances in Biomedicine and Pharmacy","","Beall`s Predatory Journals"
"Advances in Fixed Point Theory","","Beall`s Predatory Journals"
"Advances in Forestry Letter","","Beall`s Predatory Journals"
"Advances in Science","","Beall`s Predatory Journals"
"Aegaeum","","Beall`s Predatory Journals"
"Afrasian Journal of Humanities and Social Sciences","","Beall`s Predatory Journals"
"African Journal of Traditional","","Beall`s Predatory Journals"
"Aging","","Beall`s Predatory Journals"
"Agrociencia","","Beall`s Predatory Journals"
"Agrociencia","","Beall`s Predatory Journals"
"AGU International Journal of Engineering & Technology","","Beall`s Predatory Journals"
"AGU International Journal of Professional Studies & Research","","Beall`s Predatory Journals"
"AGU International Journal of Research in Social Science & Humanities","","Beall`s Predatory Journals"
"Ahead International Journal of Recent Research Review","","Beall`s Predatory Journals"
"Al Ameen Journal of Medical Sciences","","Beall`s Predatory Journals"
"Aloy Journal of Soft Computing and Applications","","Beall`s Predatory Journals"
"American Based Research Journal","","Beall`s Predatory Journals"
"American International Journal of Contemporary Research","","Beall`s Predatory Journals"
"American International Journal of Contemporary Scientific Research","","Beall`s Predatory Journals"
"American Journal of Advanced Agricultural Research","","Beall`s Predatory Journals"
"American Journal of Advanced Drug Delivery","","Beall`s Predatory Journals"
"American Journal of Advanced Scientific Research","","Beall`s Predatory Journals"
"American Journal of Advances in Medical Science","","Beall`s Predatory Journals"
"American Journal of Biomedical Science & Research","","Beall`s Predatory Journals"
"American Journal of Biotechnology and Medical Research","","Beall`s Predatory Journals"
"American Journal of Engineering Research","","Beall`s Predatory Journals"
"American Journal of Essential Oils and Natural Products","","Beall`s Predatory Journals"
"American Journal of Humanities and Social Sciences Research","","Beall`s Predatory Journals"
"American Journal of Innovative Research and Applied Sciences","","Beall`s Predatory Journals"
"American Journal of Multidisciplinary Research and Development","","Beall`s Predatory Journals"
"American Journal of Pharmacy and Health Research","","Beall`s Predatory Journals"
"American Journal of PharmTech Research","","Beall`s Predatory Journals"
"American Journal of Phytomedicine and Clinical Therapeutics","","Beall`s Predatory Journals"
"American Journal of Research Communication","","Beall`s Predatory Journals"
"American Journal of Scientific Research","","Beall`s Predatory Journals"
"American Journal of Social issues and Humanities ","","Beall`s Predatory Journals"
"American Research Thoughts","","Beall`s Predatory Journals"
"American Scientific Research Journal for Engineering","","Beall`s Predatory Journals"
"American Transactions on Engineering & Applied Sciences","","Beall`s Predatory Journals"
"Amphibian & Reptile Conservation","","Beall`s Predatory Journals"
"Anglisticum","","Beall`s Predatory Journals"
"Annals of British Medical Sciences","","Beall`s Predatory Journals"
"Annals of Clinical and Medical Case Reports","","Beall`s Predatory Journals"
"Annals of Clinical Case Reports","","Beall`s Predatory Journals"
"Annals of Dental Specialty","","Beall`s Predatory Journals"
"Annals of EURASIAN MEDICIN","","Beall`s Predatory Journals"
"Annals of International Medical and Dental Research","","Beall`s Predatory Journals"
"Annals of Medical and Biomedical Sciences","","Beall`s Predatory Journals"
"Annals of Phytomedicine","","Beall`s Predatory Journals"
"Applied Research Journal","","Beall`s Predatory Journals"
"Arabian Journal of Medical Sciences","","Beall`s Predatory Journals"
"Archives Des Sciences Journal","","Beall`s Predatory Journals"
"Archives of Applied Medicine","","Beall`s Predatory Journals"
"Archives of Clinical and Experimental Surgery","","Beall`s Predatory Journals"
"ARCTIC Journal","","Beall`s Predatory Journals"
"ARNACA American Journal of Advances in Medical Science","","Beall`s Predatory Journals"
"ARPN Journal of Science and Technology","","Beall`s Predatory Journals"
"ARPN Journal of Systems and Software","","Beall`s Predatory Journals"
"Asia Pacific Journal of Education","","Beall`s Predatory Journals"
"Asia Pacific Journal of Multidisciplinary Research","","Beall`s Predatory Journals"
"Asia-Pacific Journal of Research","","Beall`s Predatory Journals"
"Asian Journal of Advanced Research and Reports","","Beall`s Predatory Journals"
"Asian Journal of Applied Science and Engineering","","Beall`s Predatory Journals"
"Asian Journal of Applied Science and Technology","","Beall`s Predatory Journals"
"Asian Journal of Biomedical and Pharmaceutical Sciences","","Beall`s Predatory Journals"
"Asian Journal of Business and Management Sciences","","Beall`s Predatory Journals"
"Asian Journal of Chemistry","","Beall`s Predatory Journals"
"Asian Journal of Emerging Research","","Beall`s Predatory Journals"
"Asian Journal of Health and Medical Sciences","","Beall`s Predatory Journals"
"Asian Journal of Humanities and Social Sciences","","Beall`s Predatory Journals"
"Asian Journal of Mathematics and Applications","","Beall`s Predatory Journals"
"Asian Journal of Multidisciplinary Studies","","Beall`s Predatory Journals"
"Asian Journal of Pharmaceutical and Health Sciences","","Beall`s Predatory Journals"
"Asian Journal of Pharmaceutical Research and Health Care","","Beall`s Predatory Journals"
"Asian Journal of Pharmacy and Life Science","","Beall`s Predatory Journals"
"Asian Journal of Science and Technology","","Beall`s Predatory Journals"
"Asian Pacific Journal of Health Sciences","","Beall`s Predatory Journals"
"Asian Pacific Journal of Natural Products","","Beall`s Predatory Journals"
"Asian Pacific Journal of Pharmacy and Phytochemistry","","Beall`s Predatory Journals"
"Asian Pacific Journal of Tropical Disease","","Beall`s Predatory Journals"
"Asian Research Journal of Business Management","","Beall`s Predatory Journals"
"Astronomical Review","","Beall`s Predatory Journals"
"Aurora’s International Journal of Computing​","","Beall`s Predatory Journals"
"Australasian Journal of Herpetology","","Beall`s Predatory Journals"
"Australasian Medical Journal","","Beall`s Predatory Journals"
"Australian Journal of Basic and Applied Sciences","","Beall`s Predatory Journals"
"Australian Journal of Business and Management Research","","Beall`s Predatory Journals"
"Averroes European Medical Journal","","Beall`s Predatory Journals"
"Ayupharm: International Journal of Ayurveda and Allied Sciences","","Beall`s Predatory Journals"
"Ayushdhar","","Beall`s Predatory Journals"
"Bio Bulletin","","Beall`s Predatory Journals"
"Bioinformation","","Beall`s Predatory Journals"
"Biointerface Research in Applied Chemistry","","Beall`s Predatory Journals"
"Biomaterials and Tissue Engineering Bulletin","","Beall`s Predatory Journals"
"Biomedical & Pharmacology Journa","","Beall`s Predatory Journals"
"Biomedical Engineering Review","","Beall`s Predatory Journals"
"Biomedical Journal of Scientific & Technical Research","","Beall`s Predatory Journals"
"Bionano Frontier","","Beall`s Predatory Journals"
"Biopharm Journal","","Beall`s Predatory Journals"
"Bioresearch Bulletin","","Beall`s Predatory Journals"
"Bioscience and Bioengineering Communications","","Beall`s Predatory Journals"
"Bioscience Biotechnology Research Communications","","Beall`s Predatory Journals"
"Bioscience Discovery","","Beall`s Predatory Journals"
"Biosciences International","","Beall`s Predatory Journals"
"Biosciences","","Beall`s Predatory Journals"
"Biotechnological Research","","Beall`s Predatory Journals"
"BOREAL ENVIRONMENT RESEARCH","","Beall`s Predatory Journals"
"Botany Journal","","Beall`s Predatory Journals"
"British Biomedical Bulletin","","Beall`s Predatory Journals"
"British Journal of Biomedical Research","","Beall`s Predatory Journals"
"British Journal of Economics","","Beall`s Predatory Journals"
"British Journal of Interdisciplinary Studies","","Beall`s Predatory Journals"
"British Journal of Medical & Health Sciences","","Beall`s Predatory Journals"
"British Journal of Medical and Health Research","","Beall`s Predatory Journals"
"British Journal of Pharmaceutical and Medical Research​","","Beall`s Predatory Journals"
"British Journal of Science","","Beall`s Predatory Journals"
"Buletin Teknologi Makanan","","Beall`s Predatory Journals"
"Bulletin of Applied and Research Science","","Beall`s Predatory Journals"
"Bulletin of Environment","","Beall`s Predatory Journals"
"Bulletin of Mathematical Sciences & Applications","","Beall`s Predatory Journals"
"Bulletin of Pharmaceutical Research","","Beall`s Predatory Journals"
"Bulletin of Society for Mathematical Services and Standards","","Beall`s Predatory Journals"
"Business and Economics Journal","","Beall`s Predatory Journals"
"Calodema","","Beall`s Predatory Journals"
"Canadian Chemical Transactions","","Beall`s Predatory Journals"
"Canadian International Journal of Science and Technology","","Beall`s Predatory Journals"
"Canadian Journal of Basic and Applied Sciences","","Beall`s Predatory Journals"
"Canadian Journal of Biomedical Research and Technology","","Beall`s Predatory Journals"
"Canadian Journal of Biotechnology","","Beall`s Predatory Journals"
"Canadian Journal of Pure and Applied Sciences","","Beall`s Predatory Journals"
"Canadian Scientific Journal","","Beall`s Predatory Journals"
"Cancer Research Frontiers","","Beall`s Predatory Journals"
"Cardiology and Cardiovascular Medicine","","Beall`s Predatory Journals"
"Caribbean Journal of Science and Technology","","Beall`s Predatory Journals"
"Case Study and Case Report","","Beall`s Predatory Journals"
"Caspian Sea Journal","","Beall`s Predatory Journals"
"CCAMLR Science","","Beall`s Predatory Journals"
"Cell Medicine","","Beall`s Predatory Journals"
"Cellular and Molecular Biology","","Beall`s Predatory Journals"
"Centrum","","Beall`s Predatory Journals"
"Chemical Science Transactions","","Beall`s Predatory Journals"
"Chemistry Research Journal","","Beall`s Predatory Journals"
"Clinics in Oncology","","Beall`s Predatory Journals"
"Clinics in Surgery","","Beall`s Predatory Journals"
"Columban Journal of Life Sciences","","Beall`s Predatory Journals"
"Communications on Applied Electronics","","Beall`s Predatory Journals"
"Computational Research Progress in Applied Science & Engineering","","Beall`s Predatory Journals"
"Computer Science Chronicle","","Beall`s Predatory Journals"
"Computer Science Journal","","Beall`s Predatory Journals"
"Contemporary Research in India","","Beall`s Predatory Journals"
"Contemporary Sociological Global Review","","Beall`s Predatory Journals"
"Core Evidence","","Beall`s Predatory Journals"
"Cumhuriyet Science Journal","","Beall`s Predatory Journals"
"Current Biomarker Findings","","Beall`s Predatory Journals"
"Current Biotica","","Beall`s Predatory Journals"
"Current Botany","","Beall`s Predatory Journals"
"Current Discovery","","Beall`s Predatory Journals"
"Current Journal of Applied Science and Technology","","Beall`s Predatory Journals"
"Current Neurobiology","","Beall`s Predatory Journals"
"Current Science","","Beall`s Predatory Journals"
"Current Trends in Technology and Sciences","","Beall`s Predatory Journals"
"Danish Scientific Journal","","Beall`s Predatory Journals"
"DAV International Journal of Science","","Beall`s Predatory Journals"
"Dawn Journal","","Beall`s Predatory Journals"
"Degenerative Neurological and Neuromuscular Disease","","Beall`s Predatory Journals"
"Der Pharma Chemica","","Beall`s Predatory Journals"
"Direct Research Journals","","Beall`s Predatory Journals"
"Disseminate Knowledge","","Beall`s Predatory Journals"
"Diyala Journal for Pure Science","","Beall`s Predatory Journals"
"E-Library Science Research Journal","","Beall`s Predatory Journals"
"East European Science Journal","","Beall`s Predatory Journals"
"Eastern Academic Journal","","Beall`s Predatory Journals"
"Eastern European Scientific Journal","","Beall`s Predatory Journals"
"Ecoforum","","Beall`s Predatory Journals"
"Ecoletra.com Scientific eJournal","","Beall`s Predatory Journals"
"Education Reform Journal","","Beall`s Predatory Journals"
"EDUVED Global Management Research","","Beall`s Predatory Journals"
"Eduved","","Beall`s Predatory Journals"
"Electronic Journal of Biology","","Beall`s Predatory Journals"
"Electronic Journal of Engineering and Technology","","Beall`s Predatory Journals"
"Electronic Journal of Geotechnical Engineering","","Beall`s Predatory Journals"
"Electronic Journal of Vocational Colleges","","Beall`s Predatory Journals"
"Elixir International Journal","","Beall`s Predatory Journals"
"Elixir Online  Journal","","Beall`s Predatory Journals"
"Engineering & IT Journal","","Beall`s Predatory Journals"
"Engineering Physics and Thermodynamics Journal","","Beall`s Predatory Journals"
"Engineering Research Journal","","Beall`s Predatory Journals"
"Entomology and Applied Science Letters","","Beall`s Predatory Journals"
"ESSENCE: International Journal for Environmental Rehabilitation and Conservation","","Beall`s Predatory Journals"
"Estudos de Psicologia (Campinas)","","Beall`s Predatory Journals"
"EU-JER journal","","Beall`s Predatory Journals"
"Euro-Afro Journal of Arts and Social Sciences","","Beall`s Predatory Journals"
"European Academic Research","","Beall`s Predatory Journals"
"European Chemical Bulletin","","Beall`s Predatory Journals"
"European Environmental Sciences and Ecology Journal","","Beall`s Predatory Journals"
"European International Journal of Science and Humanities","","Beall`s Predatory Journals"
"European International Journal of Science and Technology","","Beall`s Predatory Journals"
"European Journal of Academic Essays","","Beall`s Predatory Journals"
"European Journal of Advanced Computer Science","","Beall`s Predatory Journals"
"European Journal of Advances in Engineering & Technology","","Beall`s Predatory Journals"
"European Journal of Biomedical and Pharmaceutical Sciences","","Beall`s Predatory Journals"
"European Journal of Biotechnology and Bioscience","","Beall`s Predatory Journals"
"European Journal of Business and Social Sciences","","Beall`s Predatory Journals"
"European Journal of Chemistry","","Beall`s Predatory Journals"
"European Journal of Contemporary Economics and Management","","Beall`s Predatory Journals"
"European Journal of Economics","","Beall`s Predatory Journals"
"European Journal of Educational Research","","Beall`s Predatory Journals"
"European Journal of Educational Sciences","","Beall`s Predatory Journals"
"European Journal of Engineering Research and Science","","Beall`s Predatory Journals"
"European Journal of General Dentistry","","Beall`s Predatory Journals"
"European Journal of Molecular & Clinical Medicine","","Beall`s Predatory Journals"
"European Journal of Natural History","","Beall`s Predatory Journals"
"European Journal of Pharmaceutical and Medical Research","","Beall`s Predatory Journals"
"European Journal of Science and Theology","","Beall`s Predatory Journals"
"European Journal of Scientific Research","","Beall`s Predatory Journals"
"European Journal of Social Sciences","","Beall`s Predatory Journals"
"European Journal of Sustainable Development","","Beall`s Predatory Journals"
"European Law and Politics Journal","","Beall`s Predatory Journals"
"European Online Journal of Natural and Social Sciences","","Beall`s Predatory Journals"
"European Scientific Journal","","Beall`s Predatory Journals"
"Experiment","","Beall`s Predatory Journals"
"First Independent Scientific Journal","","Beall`s Predatory Journals"
"FLUIDS: International Journal of Medical Fluid Management","","Beall`s Predatory Journals"
