"citation_key","inclusion_1","inclusion_2","ec_org_level","comment"
"Crian2019","no","NA","NA","-"
"Crighton2011","no","NA","NA","-"
"Cui2017","no","NA","NA","-"
"Cui2018","no","NA","NA","-"
"Curtis2008","no","NA","NA","-"
"Daniel2018","no","NA","NA","-"
"Daniel2018a","no","NA","NA","-"
"Daniel2018b","no","NA","NA","-"
"Dardick2016","no","NA","NA","-"
"Das2014","no","NA","NA","-"
"Dauphin2012","no","NA","NA","-"
"David2019","no","NA","NA","-"
"Davis2005","yes","TODO","TODO","-"
"Davis2006","no","NA","NA","-"
"Dcruz2016","no","NA","NA","-"
"De2001","no","NA","NA","-"
"De2008","no","NA","NA","-"
"De2011","no","NA","NA","-"
"De2013","no","NA","NA","-"
"Debay2013","no","NA","NA","-"
"Deckard2015","no","NA","NA","-"
"Deitz2014","no","NA","NA","-"
"Demars2020","no","NA","NA","-"
"Demeo2014","no","NA","NA","-"
"Desmond2004","no","NA","NA","-"
"Devadoss2007","yes","TODO","TODO","-"
"Deviga2020","no","NA","NA","-"
"Devloo2011","no","NA","NA","-"
"Dey2010","no","NA","NA","-"
"Dey2011","no","NA","NA","-"
"Dey2012","no","NA","NA","-"
"Diez2010","no","NA","NA","-"
"Dille2011","no","NA","NA","-"
"Dille2013","no","NA","NA","-"
"Dimoka2012","no","NA","NA","-"
"Ding2014","no","NA","NA","-"
"Dishaw2004","no","NA","NA","-"
"Domoto1987","no","NA","NA","-"
"Dong2002","no","NA","NA","-"
"Dong2019","no","NA","NA","-"
"Dong2020","no","NA","NA","-"
"Dong2020a","no","NA","NA","-"
"Dos2016","no","NA","NA","-"
"Drehmer1993","no","NA","NA","-"
"Dreiling2005","yes","TODO","TODO","-"
"Dru2015","no","NA","NA","-"
"Du2010","no","NA","NA","-"
"Ducati2008","yes","TODO","TODO","-"
"Durning2016","no","NA","NA","-"
"Dust2020","no","NA","NA","-"
"Dziuba2020","no","NA","NA","-"
"Ebermann2016","no","NA","NA","-"
"Ebrahimi2012","no","NA","NA","-"
"Ebrahimi2013","no","NA","NA","-"
"Eden2014","yes","TODO","TODO","-"
"Eden2018","no","NA","NA","-"
